sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
Jardines,MEX,,14 JARDINES,3058,Mezcla mantequilla y aceite,Mezcla mantequilla y aceite,Día de la Madre,420
Jardines,MEX,,14 JARDINES,1503,Avena Preparada,Avena Preparada,Día de la Madre,1440
Jardines,MEX,,14 JARDINES,1516,Pico de Gallo Produccion,Pico de Gallo Produccion,Día de la Madre,680
Jardines,MEX,,14 JARDINES,1515,Yogurt Griego Preparado,Yogurt Griego Preparado,Día de la Madre,540
Jardines,MEX,,14 JARDINES,1504,Granola Produccion,Granola Produccion,Día de la Madre,70
Jardines,MEX,,14 JARDINES,1401,Queso Mozzarella,Queso Mozzarella,Día de la Madre,5040
Jardines,MEX,,14 JARDINES,2738,Queso Panela,Queso Panela,Día de la Madre,759
Jardines,MEX,,14 JARDINES,2540,Pan de Papa Fasfu 100 gr,Pan de Papa Fasfu 100 gr,Día de la Madre,14
Jardines,MEX,,14 JARDINES,1272,Cajeta Insumo,Cajeta Insumo,Día de la Madre,440
Jardines,MEX,,14 JARDINES,1327,Jamon De Cerdo Insumo,Jamon De Cerdo Insumo,Día de la Madre,740
Jardines,MEX,,14 JARDINES,1321,Hashbrown McCain,Hashbrown McCain,Día de la Madre,780
Jardines,MEX,,14 JARDINES,2187,Tarjeta Especial Insumo,Tarjeta Especial Insumo,Día de la Madre,12
Jardines,MEX,,14 JARDINES,1418,Semillas de chia Insumo,Semillas de chia Insumo,Día de la Madre,14
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1507,Mezcla Pancakes Tradicionales Liquida,Mezcla Pancakes Tradicionales Liquida,Día de la Madre,2080
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1505,Mezcla Pancakes Avena Liquida,Mezcla Pancakes Avena Liquida,Día de la Madre,1620
Jardines del Valle,MEX,,40 JARDINES DEL VALL,5444,Chilaquiles verdes toppings default,Chilaquiles verdes toppings default,Día de la Madre,1
Jardines del Valle,MEX,,40 JARDINES DEL VALL,5809,Pancakes Tradicionales Nuevos,Pancakes Tradicionales Nuevos,Día de la Madre,1
Jardines del Valle,MEX,,40 JARDINES DEL VALL,2189,Tarjeta Dia de las Madres.🌷,Tarjeta Dia de las Madres.🌷,Día de la Madre,0
Jardines del Valle,MEX,,40 JARDINES DEL VALL,6403,Pancakes de Cajeta y Plátano. 🆕,Pancakes de Cajeta y Plátano. 🆕,Día de la Madre,0
Jardines del Valle,MEX,,40 JARDINES DEL VALL,6218,Croissant de Frutos Rojos,Croissant de Frutos Rojos,Día de la Madre,0
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1288,Chorizo Insumo,Chorizo Insumo,Día de la Madre,320
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1471,Frijol Refrito,Frijol Refrito,Día de la Madre,900
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1532,Arroz Blanco Cocido,Arroz Blanco Cocido,Día de la Madre,2160
Jardines del Valle,MEX,,40 JARDINES DEL VALL,6204,Salsa Verde UND 🆕,Salsa Verde UND 🆕,Día de la Madre,38
Jardines del Valle,MEX,,40 JARDINES DEL VALL,6205,Salsa Roja UND 🆕,Salsa Roja UND 🆕,Día de la Madre,19
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1434,Tocineta,Tocineta,Día de la Madre,252
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1245,Almendra Fileteada Insumo,Almendra Fileteada Insumo,Día de la Madre,165
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1304,Croissant Grande,Croissant Grande,Día de la Madre,2
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1430,Tapa Bowl Kraft Chico,Tapa Bowl Kraft Chico,Día de la Madre,34
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1266,Bowl Kraft Chico,Bowl Kraft Chico,Día de la Madre,34
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1431,Tapa Bowl Kraft Grande,Tapa Bowl Kraft Grande,Día de la Madre,29
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1267,Bowl Kraft Grande,Bowl Kraft Grande,Día de la Madre,29
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1395,Porta Hamburguesa,Porta Hamburguesa,Día de la Madre,10
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1271,Caja Lounch,Caja Lounch,Día de la Madre,6
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1419,servilletas,servilletas,Día de la Madre,142
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1669,Bowl Sopa,Bowl Sopa,Día de la Madre,20
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1670,Tapa Bowl Sopa,Tapa Bowl Sopa,Día de la Madre,20
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1311,Espinaca,Espinaca,Día de la Madre,160
Jardines del Valle,MEX,,40 JARDINES DEL VALL,2381,Jitomate Saladed,Jitomate Saladed,Día de la Madre,1505
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1289,Cilantro Insumo,Cilantro Insumo,Día de la Madre,64
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1276,Cebolla Blanca Insumo,Cebolla Blanca Insumo,Día de la Madre,1960
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1249,Arandano fresco Insumo,Arandano fresco Insumo,Día de la Madre,100
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1257,Banano Criollo Insumo,Banano Criollo Insumo,Día de la Madre,504
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1312,Fresa Insumo,Fresa Insumo,Día de la Madre,555
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1391,Pina Miel Insumo,Pina Miel Insumo,Día de la Madre,280
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1374,Papaya Maradol Insumo,Papaya Maradol Insumo,Día de la Madre,280
Jardines del Valle,MEX,,40 JARDINES DEL VALL,5319,Frosting Queso Crema y Yogurt,Frosting Queso Crema y Yogurt,Día de la Madre,80
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1303,Crema acida,Crema acida,Día de la Madre,1200
Jardines del Valle,MEX,,40 JARDINES DEL VALL,5392,"Salsa ""Del Barça""","Salsa ""Del Barça""",Día de la Madre,240
Jardines del Valle,MEX,,40 JARDINES DEL VALL,3055,Salsa Burger con Jalapeño,Salsa Burger con Jalapeño,Día de la Madre,240
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1362,Miel de maple,Miel de maple,Día de la Madre,600
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1836,Arrachera insumo,Arrachera insumo,Día de la Madre,2530
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1491,Totopos,Totopos,Día de la Madre,3800
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1511,Salsa Frutos Rojos,Salsa Frutos Rojos,Día de la Madre,80
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1039,Jugo de Naranja,Jugo de Naranja,Día de la Madre,13
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1117,Porcion de Fruta,Porcion de Fruta,Día de la Madre,6
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1493,Guacamole,Guacamole,Día de la Madre,950
Jardines del Valle,MEX,,40 JARDINES DEL VALL,3058,Mezcla mantequilla y aceite,Mezcla mantequilla y aceite,Día de la Madre,280
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1503,Avena Preparada,Avena Preparada,Día de la Madre,720
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1516,Pico de Gallo Produccion,Pico de Gallo Produccion,Día de la Madre,280
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1515,Yogurt Griego Preparado,Yogurt Griego Preparado,Día de la Madre,360
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1504,Granola Produccion,Granola Produccion,Día de la Madre,70
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1401,Queso Mozzarella,Queso Mozzarella,Día de la Madre,1470
Jardines del Valle,MEX,,40 JARDINES DEL VALL,2738,Queso Panela,Queso Panela,Día de la Madre,552
Jardines del Valle,MEX,,40 JARDINES DEL VALL,2540,Pan de Papa Fasfu 100 gr,Pan de Papa Fasfu 100 gr,Día de la Madre,6
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1272,Cajeta Insumo,Cajeta Insumo,Día de la Madre,80
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1327,Jamon De Cerdo Insumo,Jamon De Cerdo Insumo,Día de la Madre,180
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1321,Hashbrown McCain,Hashbrown McCain,Día de la Madre,390
Jardines del Valle,MEX,,40 JARDINES DEL VALL,2187,Tarjeta Especial Insumo,Tarjeta Especial Insumo,Día de la Madre,0
Jardines del Valle,MEX,,40 JARDINES DEL VALL,1418,Semillas de chia Insumo,Semillas de chia Insumo,Día de la Madre,10
