sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
Andes+Turbo,COL,,08 ANDES,3514,Jar de Tiramisu PROD,Jar de Tiramisu PROD,,3.0
Andes+Turbo,COL,,08 ANDES,286,Granola,Granola,,500.0
Andes+Turbo,COL,,08 ANDES,180,Jugo de Naranja Bolsa Lt,Jugo de Naranja Bolsa Lt,Madre,11100.0
Andes+Turbo,COL,,08 ANDES,179,Jugo de Mandarina Bolsa Lt,Jugo de Mandarina Bolsa Lt,,2400.0
Andes+Turbo,COL,,08 ANDES,175,Jamon De Cerdo,Jamon De Cerdo,Madre,2340.0
Andes+Turbo,COL,,08 ANDES,150,Chorizo Santarrosano,Chorizo Santarrosano,,1280.0
Andes+Turbo,COL,,08 ANDES,5594,Res desmechada.,Res desmechada.,,900.0
Andes+Turbo,COL,,08 ANDES,2573,Tapa bowl kraft mini,Tapa bowl kraft mini,Madre,26.0
Andes+Turbo,COL,,08 ANDES,3116,Tapa Botella 300ml,Tapa Botella 300ml,Madre,70.0
Andes+Turbo,COL,,08 ANDES,441,Botella 300 ml,Botella 300 ml,Madre,70.0
Andes+Turbo,COL,,08 ANDES,459,Porta hamburguesa,Porta hamburguesa,Madre,18.0
Andes+Turbo,COL,,08 ANDES,545,Bowl Mini,Bowl Mini,Madre,26.0
Andes+Turbo,COL,,08 ANDES,2600,Caja B&M,Caja B&M,Madre,21.0
Andes+Turbo,COL,,08 ANDES,491,Servilletas,Servilletas,Madre,179.0
Andes+Turbo,COL,,08 ANDES,250,Tomate Chonto,Tomate Chonto,,6100.0
Andes+Turbo,COL,,08 ANDES,123,Aguacate Papelillo,Aguacate Papelillo,,1300.0
Andes+Turbo,COL,,08 ANDES,184,Lechuga Batavia,Lechuga Batavia,,1800.0
Andes+Turbo,COL,,08 ANDES,215,Pepino Cohombro,Pepino Cohombro,,1300.0
Andes+Turbo,COL,,08 ANDES,221,Pina Golden,Pina Golden,Madre,2700.0
Andes+Turbo,COL,,08 ANDES,210,Papaya Maradol,Papaya Maradol,Madre,2200.0
Andes+Turbo,COL,,08 ANDES,137,Banano Criollo,Banano Criollo,,600.0
Andes+Turbo,COL,,08 ANDES,164,Fresas,Fresas,,800.0
Andes+Turbo,COL,,08 ANDES,151,Cilantro Patirojo,Cilantro Patirojo,,300.0
Andes+Turbo,COL,,08 ANDES,163,Espinaca,Espinaca,,570.0
Andes+Turbo,COL,,08 ANDES,146,Cebolla Roja,Cebolla Roja,,300.0
Andes+Turbo,COL,,08 ANDES,185,Lechuga Romana,Lechuga Romana,,500.0
Andes+Turbo,COL,,08 ANDES,249,Tomate Cherry,Tomate Cherry,,300.0
Andes+Turbo,COL,,08 ANDES,145,Cebolla Larga Junca,Cebolla Larga Junca,,300.0
Andes+Turbo,COL,,08 ANDES,130,Arandanos,Arandanos,,300.0
Andes+Turbo,COL,,08 ANDES,181,Kale,Kale,,200.0
Andes+Turbo,COL,,08 ANDES,243,Sorbet de acai,Sorbet de acai,,800.0
Andes+Turbo,COL,,08 ANDES,228,Queso Doble Crema,Queso Doble Crema,,1900.0
Andes+Turbo,COL,,08 ANDES,229,Queso Feta,Queso Feta,,300.0
Andes+Turbo,COL,,08 ANDES,5511,Queso cheddar tajadas UN,Queso cheddar tajadas UN,Madre,147.0
Andes+Turbo,COL,,08 ANDES,253,Tortilla De Harina,Tortilla De Harina,,53.0
Andes+Turbo,COL,,08 ANDES,159,Croissant Grande,Croissant Grande,Madre,61.0
Andes+Turbo,COL,,08 ANDES,2952,Arroz Achiotado,Arroz Achiotado,,11400.0
Andes+Turbo,COL,,08 ANDES,5091,Limonada (con base limonada),Limonada (con base limonada),,8700.0
Andes+Turbo,COL,,08 ANDES,283,Frijoles Negros,Frijoles Negros,,5850.0
Andes+Turbo,COL,,08 ANDES,269,Arroz Integral Cocido,Arroz Integral Cocido,,5250.0
Andes+Turbo,COL,,08 ANDES,464,Mezcla Pancakes Tradicionales Lista,Mezcla Pancakes Tradicionales Lista,Madre,5600.0
Andes+Turbo,COL,,08 ANDES,5082,Carne Chilli,Carne Chilli,,2800.0
Andes+Turbo,COL,,08 ANDES,4938,Pollo a las Hierbas,Pollo a las Hierbas,,2800.0
Andes+Turbo,COL,,08 ANDES,295,Papa Calentada,Papa Calentada,,2200.0
Andes+Turbo,COL,,08 ANDES,282,Frijol Paisa,Frijol Paisa,,1300.0
Andes+Turbo,COL,,08 ANDES,297,Platano Frito,Platano Frito,,1800.0
Andes+Turbo,COL,,08 ANDES,296,Pico de Gallo,Pico de Gallo,,1600.0
Andes+Turbo,COL,,08 ANDES,5094,Cerdo Desmechado,Cerdo Desmechado,,2600.0
Andes+Turbo,COL,,08 ANDES,5920,Pollo  BBQ,Pollo  BBQ,,1700.0
Andes+Turbo,COL,,08 ANDES,2730,Emulsion Alioli,Emulsion Alioli,Madre,1600.0
Andes+Turbo,COL,,08 ANDES,288,Hummus De Garbanzos,Hummus De Garbanzos,,2500.0
Andes+Turbo,COL,,08 ANDES,323,Yogur griego Preparado,Yogur griego Preparado,,800.0
Andes+Turbo,COL,,08 ANDES,319,Vinagreta Libanesa,Vinagreta Libanesa,,700.0
Andes+Turbo,COL,,08 ANDES,277,Vinagreta Cesar,Vinagreta Cesar,,600.0
Andes+Turbo,COL,,08 ANDES,5630,Maíz salteado.,Maíz salteado.,,700.0
Andes+Turbo,COL,,08 ANDES,5093,Tocineta producción,Tocineta producción,,400.0
Andes+Turbo,COL,,08 ANDES,4816,Pasta Integral Cocida,Pasta Integral Cocida,,1000.0
Andes+Turbo,COL,,08 ANDES,306,Salsa Criolla Produccion,Salsa Criolla Produccion,,400.0
Andes+Turbo,COL,,08 ANDES,5032,cebolla asada Mr.Beast,cebolla asada Mr.Beast,,952.0
Andes+Turbo,COL,,08 ANDES,4811,Quinoa especiada,Quinoa especiada,,216.0
Andes+Turbo,COL,,08 ANDES,320,Vinagreta de Jalapenos Mexicanos,Vinagreta de Jalapenos Mexicanos,,400.0
