País,COL,Weekday,Segmento,# de Weekdays,,,,,,,,,,,,,
Cocina,15 ENGATIVA,4,L-J,18,Ejecución MEP,,,,,,,,,,,,
,Desayuno,,,,,,,,,,,Almuerzo,Cena,Mañana,Tarde,Noche,0.4369747899
Madre,Alistar,PRODUCTO TERMINADO,6273,Pancakes de choclo,UN,Domingo,,,primera hora,2.076923077,2.076923077,0,0,3.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,5022,Minibon canela,UN,Domingo,,,primera hora,18,18,0,0,18.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,3799,Galleta Red Velvet Choc Blanco Individual Vicio,UN,Sábado,,,Empacada en bolsa pan,3.076923077,0.9230769231,0.3076923077,1.846153846,4.0,0,,
Madre,Alistar,PRODUCTO TERMINADO,3597,Flores 🌹,UN,Domingo,,,armado de combos am,19,19,0,0,19.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6343,COMBO INDIVIDUAL PANCAKES CHOCLO,UN,Domingo,,,armado de combos am,2,2,0,0,2.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6344,COMBO INDIVIDUAL MINIBON,UN,Domingo,,,armado de combos am,18,18,0,0,18.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6345,COMBO INDIVIDUAL GALLETA,UN,Domingo,,,armado de combos am,3,3,0,0,3.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6346,COMBO ESPECIAL CON FLORES,UN,Domingo,,,armado de combos am,19,19,0,0,19.0,0,,
Madre,Combo armado,PRODUCTO TERMINADO,6348,COMBO ESPECIAL SIN FLORES,UN,Domingo,,,armado de combos am,3.153846154,3.153846154,0,0,4.0,0,,
Alistar,,PRODUCTO TERMINADO,63.0,Pancakes Tradicionales,UN,Domingo,,2.076923077,,,2.076923077,0.1408083442,0.1760104302,5.0,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
Domingo,,,,,,,,0.0,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
0.0,,,,,,,,,,,,,,,0,,
