country,city,kitchen_id,meal_period,sku,description,category,consumption_place,unit,sum(quantity),avg(quantity)
COL,Bogotá,45 VERAGUAS,Desayuno,464.0,Mezcla Pancakes Tradicionales Lista,PRODUCTION,Kitchen,G,10840.0,10840.0
COL,Bogotá,65 CALLE 109,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,10725.81241,10725.81241
COL,Medellín,11 MANILA,Desayuno,246.0,Syrup 🏷️,GROCERY,Kitchen,G,10640.0,10640.0
COL,Bogotá,36 VILLA DEL PRADO,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,10608.6912018352,10608.6912018352
COL,Medellín,12 LAURELES,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,10515.0,10515.0
COL,Medellín,12 LAURELES,Cena,5091.0,Limonada (con base limonada),PRODUCTION,Kitchen,ML,10500.0,10500.0
COL,Cali,46 INGENIO,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,10340.3476,10340.3476
COL,Pereira,28 PEREIRA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,10266.4924,10266.4924
COL,Medellín,29 ITAGUI,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,10225.286107,10225.286107
COL,Medellín,11 MANILA,Desayuno,295.0,Papa Calentada,PRODUCTION,Kitchen,G,10188.0,10188.0
COL,Bogotá,01 USAQUEN,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,10041.06538,10041.06538
COL,Medellín,11 MANILA,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,9900.0,9900.0
COL,Cali,22 SANTA MONICA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,9893.62133588569,9893.62133588569
COL,Cali,22 SANTA MONICA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,9730.1776,9730.1776
COL,Cali,24 SAN FERNANDO,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,9632.55040000001,9632.55040000001
COL,Cali,46 INGENIO,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,9505.0,9505.0
COL,Medellín,12 LAURELES,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,9390.0,9390.0
COL,Cali,46 INGENIO,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,9300.0,9300.0
COL,Bogotá,03 CHAPINERO,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,9274.58400000001,9274.58400000001
COL,Pereira,28 PEREIRA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,9189.22621242844,9189.22621242844
COL,Bogotá,45 VERAGUAS,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,9157.02159044695,9157.02159044695
COL,Bogotá,06 COLINA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,9132.7193,9132.7193
COL,Bogotá,38 KENNEDY,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,9071.26366,9071.26366
COL,Barranquilla,32 BARRANQUILLA,Almuerzo,5091.0,Limonada (con base limonada),PRODUCTION,Kitchen,ML,9000.0,9000.0
COL,Bogotá,01 USAQUEN,Cena,5091.0,Limonada (con base limonada),PRODUCTION,Kitchen,ML,9000.0,9000.0
COL,Cartagena,33 CARTAGENA,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,9000.0,9000.0
COL,Pereira,28 PEREIRA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,8949.16000000001,8949.16000000001
COL,Barranquilla,32 BARRANQUILLA,Almuerzo,269.0,Arroz Integral Cocido,PRODUCTION,Kitchen,G,8875.0,8875.0
COL,Bogotá,45 VERAGUAS,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,8862.56321277137,8862.56321277137
COL,Bogotá,13 CHIA,Desayuno,122.0,Agua de Llave,GROCERY,Kitchen,ML,8825.48075283521,8825.48075283521
COL,Bucaramanga,42 CABECERA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,8800.43538,8800.43538
COL,Bogotá,65 CALLE 109,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,8737.6344,8737.6344
COL,Medellín,12 LAURELES,Desayuno,209.0,Papa Sabanera,FRUITS,Kitchen,G,8678.5749,8678.5749
COL,Cali,46 INGENIO,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,8663.99146765706,8663.99146765706
COL,Medellín,12 LAURELES,Desayuno,246.0,Syrup 🏷️,GROCERY,Kitchen,G,8640.0,8640.0
COL,Bogotá,08 ANDES,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,8570.0,8570.0
COL,Bogotá,01 USAQUEN,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,8469.1596,8469.1596
COL,Medellín,12 LAURELES,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,8400.0,8400.0
COL,Medellín,14 ENVIGADO,Desayuno,246.0,Syrup 🏷️,GROCERY,Kitchen,G,8360.0,8360.0
COL,Cartagena,33 CARTAGENA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,8331.46444,8331.46444
COL,Barranquilla,32 BARRANQUILLA,Desayuno,246.0,Syrup 🏷️,GROCERY,Kitchen,G,8320.0,8320.0
COL,Cartagena,33 CARTAGENA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,8251.580197,8251.580197
COL,Medellín,29 ITAGUI,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,8221.67198,8221.67198
COL,Bogotá,38 KENNEDY,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,8168.1424,8168.1424
COL,Cali,46 INGENIO,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,8100.0,8100.0
COL,Medellín,12 LAURELES,Desayuno,295.0,Papa Calentada,PRODUCTION,Kitchen,G,8100.0,8100.0
COL,Cali,24 SAN FERNANDO,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,8100.0,8100.0
COL,Bogotá,08 ANDES,Almuerzo,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,7985.0,7985.0
COL,Bogotá,03 CHAPINERO,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,7960.0,7960.0
COL,Bogotá,36 VILLA DEL PRADO,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,7920.72448,7920.72448
COL,Bogotá,15 ENGATIVA,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,7880.0,7880.0
COL,Bogotá,15 ENGATIVA,Almuerzo,122.0,Agua de Llave,GROCERY,Kitchen,ML,7814.55144077138,7814.55144077138
COL,Bogotá,02 PARQUE 93,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,7812.54866,7812.54866
COL,Bogotá,36 VILLA DEL PRADO,Almuerzo,5091.0,Limonada (con base limonada),PRODUCTION,Kitchen,ML,7800.0,7800.0
COL,Bogotá,02 PARQUE 93,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,7780.0,7780.0
COL,Bogotá,13 CHIA,Desayuno,183.0,Leche,DAIRY,Kitchen,ML,7747.38484,7747.38484
COL,Medellín,12 LAURELES,Desayuno,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,7650.0,7650.0
COL,Bogotá,36 VILLA DEL PRADO,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,7640.61486688569,7640.61486688569
COL,Bogotá,36 VILLA DEL PRADO,Cena,1904.0,Papas pre Fritas⚠️,GROCERY,Kitchen,G,7610.0,7610.0
COL,Bogotá,06 COLINA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,7606.786,7606.786
COL,Bogotá,15 ENGATIVA,Cena,122.0,Agua de Llave,GROCERY,Kitchen,ML,7568.6717,7568.6717
COL,Medellín,11 MANILA,Desayuno,221.0,Pina Golden,FRUITS,Kitchen,G,7560.0,7560.0
COL,Medellín,11 MANILA,Desayuno,210.0,Papaya Maradol,FRUITS,Kitchen,G,7560.0,7560.0
COL,Medellín,12 LAURELES,Cena,2952.0,Arroz Achiotado,PRODUCTION,Kitchen,G,7535.0,7535.0
COL,Bucaramanga,42 CABECERA,Desayuno,292.0,Mezcla Pancake Tradicional Seco,PRODUCTION,Kitchen,G,7533.5656,7533.5656
COL,Bogotá,06 COLINA,Desayuno,179.0,Jugo de Mandarina Bolsa Lt ⭕️,DRINK,Kitchen,ML,7500.0,7500.0
