order_received_at_local,order_id,provider_order_id,provider_name,country,kitchen,brand,rating,comments,complaint,rating_tag,reason,reason_category,reason_area,# In Full,is infull
20.0,weDfjwWLs8XWnJw5r,5764669944474174993,didi,MEX,Doctores,Fonda Local,5.0,0,,Precios razonables|Bien empacado|Menú variado|Porciones adecuadas|Buena calidad de la comida|Exactamente como lo pedí,GOOD_PACKAGING|HIGH_FOOD_QUALITY|ORDER_PRECISION|VARIETY_MENU_OPTIONS,1.0,,,0
20.0,7GcCpu2v22xgN9vny,2.440181644E9,rappi,MEX,Volcanes,Don Gyros & Kebab,5.0,0,,comment|Comentario,RATINGS,RATINGS,1.0,,0
20.0,iu6AyN3Po4Qz2z7We,7d0c13b1-5e15-45fa-8aea-db1fa754561c,ubereats,MEX,Jardines,Don Gyros & Kebab,1.0,1,,BAD_QUALITY,,WRONG_TEMPERATURE,DELIVERY,0.0,1
20.0,oZd8DxSN9fPhJ9FbC,5764670164532528666,didi,MEX,Doctores,Brunch & Munch,4.0,0,,Porciones adecuadas|Bien empacado,GOOD_PACKAGING|ORDER_COMPLETENESS,1.0,,,0
20.0,4Kx5kWXn6QMENkijw,22f31dae-a897-4486-97aa-7ceb6e542291,ubereats,MEX,Churubusco,House of Salads,4.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,SHqWnNH3ZEPSixFkh,25cdb232-08de-4e6a-a3d4-d5aa23a46adf,ubereats,MEX,Tabachines,Mr Beast Burger,5.0,0,,restaurant_great_selection,VARIETY_MENU_OPTIONS,1.0,,,0
20.0,YWmAA2nQJWQC5REgL,0ab74032-133a-4cbc-a650-b58ed6c1cff5,ubereats,MEX,Doctores,The Salad Project,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,v2YX2micv9bonCSZC,68414076-bac7-4863-9009-204bcf305029,ubereats,MEX,La Calma,House of Salads,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,x7onTRsFWQGawvchm,18d1d745-f164-4962-a7b4-cd46bceb3cab,ubereats,MEX,Tlaquepaque,Órale Desayunos,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,fAGCRabTzGNt3nS6p,5764670039600989775,didi,MEX,Doctores,Avocalia,5.0,0,,Exactamente como lo pedí|Porciones adecuadas|Menú variado|Bien empacado|Buena calidad de la comida,GOOD_PACKAGING|HIGH_FOOD_QUALITY|ORDER_COMPLETENESS|ORDER_PRECISION|VARIETY_MENU_OPTIONS,1.0,,,0
20.0,f3jGzs8E4QKRx7uEi,2.440188019E9,rappi,MEX,Polanco,AVOCALIA TURBO,5.0,0,,comment|Comentario,RATINGS,RATINGS,1.0,,0
20.0,TpnqDwRe5SMgNGien,5764670125076710968,didi,MEX,Azcapotzalco,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,spuHWhDAfLkRDpfYn,983e1711-3f4c-4095-b160-39cac871ea0b,ubereats,MEX,Ciudad Judicial,Avocalia,5.0,0,,RATINGS,,RATINGS,1.0,,0
20.0,o6uRzpr8GuuS8wBfE,5764670126322419306,didi,MEX,Metepec,Chemaquiles,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,WuX3tR8ZgXaxBk5Mw,2826cc93-cf36-487d-85a3-1b89d91a90ca,ubereats,MEX,San Ángel,House of Salads,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,msBrQpSmcXZDBnZpb,aa9b9c1a-50b1-4335-8ce8-f331607786b6,ubereats,MEX,Doctores,Green House,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,iNkj6AqJFf64bkhDu,5764670003903268469,didi,MEX,Volcanes,Fonda Local,3.0,1,,RATINGS,,RATINGS,0.0,,1
21.0,5CZmMGGzRZoj8gNQ8,2.440199797E9,rappi,MEX,Volcanes,Que Chicken,4.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,bicDMgDQSivsaogzY,9ff071af-3b95-4e96-8290-c6cbf32818ae,ubereats,MEX,Coapa,Avocalia,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,sBabrGNXqkzPYAhvN,4df7824c-d14f-4b67-a608-b3573763595d,ubereats,MEX,Polanco,Avocalia,5.0,0,,restaurant_delicious_options,VARIETY_MENU_OPTIONS,1.0,,,0
21.0,HmvTCNFr6Kkrf2AA5,de42353b-ec8a-40e8-bcfa-a1a797c85bba,ubereats,MEX,Polanco,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,CpSRfdKqqAPBsTawN,5764670044759983750,didi,MEX,Azcapotzalco,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,Smc9rqstgcRhszmTN,5764670090620503686,didi,MEX,Del Valle,House of Salads,5.0,0,,Precios razonables|Bien empacado,GOOD_PACKAGING,1.0,,,0
21.0,bQjg7GENtoMPFS49B,5764670027492034192,didi,MEX,Tlaquepaque,Mr Beast Burger,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,chnjnW4zYxNQGh6EY,8946a16a-84eb-4f23-9448-556513941528,ubereats,MEX,Satélite,Brunch & Munch,4.0,0,,restaurant_fresh_ingredients,HIGH_FOOD_QUALITY,1.0,,,0
21.0,6CaM9aJRDCZoJtnkL,e5e0e07f-0a86-4167-af72-b81caf15c4ea,ubereats,MEX,Tlaquepaque,House of Salads,5.0,0,,restaurant_convenient|restaurant_store_accommodating|restaurant_reliable_service|restaurant_great_selection,VARIETY_MENU_OPTIONS,1.0,,,0
21.0,vMsw68L8qu87F6fgu,1ea80e23-f96b-4227-8c72-65cb6f810f6e,ubereats,MEX,Doctores,Eggy by Chef Eva,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,ZK3vwZJhJDLqyJzhz,2.440209497E9,rappi,MEX,Doctores,Desayunos de la Abuela,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,edt3xmXtCzbfadxS7,2.440209486E9,rappi,MEX,Azcapotzalco,Avocalia,4.0,0,,rrs_rest_completeness_rate_4|Incluir todos los items,ORDER_COMPLETENESS,ORDER_COMPLETENESS,,1.0,0
21.0,MESxRiGKm5434Fbig,2.44021035E9,rappi,MEX,Montejo,The Wrap Company MX,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,Jjh4W8yirHuQLApNT,94f73d6a-ba62-4135-a756-4d6bff865518,ubereats,MEX,Churubusco,Avocalia,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,aJGBaMPwfdH62BKiM,2.440211594E9,rappi,MEX,La Calma,Desayunos de la Abuela,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,wFg94chQstmsRtdus,a4fcd023-8874-4942-9091-7d2359eb078e,ubereats,MEX,Santa Teresita,Fonda Local,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,oLasscsmGSktNeyJL,986225c6-0ee8-48eb-9cbc-fcf6988b0865,ubereats,MEX,Metepec,Mr Beast Burger,5.0,0,,"HIGH_FOOD_QUALITY, HIGH_FOOD_QUALITY",,1.0,,,0
21.0,PPGkmRtbymsLwzgrc,b123b6ca-5a02-4aab-ae0d-64860bc9371b,ubereats,MEX,San Ángel,Avocalia,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,38QYeTgN4ruefhxbx,2.440213644E9,rappi,MEX,Del Valle,Mr Beast Burger,5.0,0,,rrs_rest_quality_rate_5|Calidad de la comida,HIGH_FOOD_QUALITY,HIGH_FOOD_QUALITY,,1.0,0
21.0,uzuKbHgGHrQ3wnB8s,cee3e40e-2d25-4111-b6d9-103f92d1646b,ubereats,MEX,Doctores,Avocalia,5.0,0,,RATINGS,,RATINGS,1.0,,0
21.0,FSyzWhC6ZiN85baSo,5764669971590350499,didi,MEX,Volcanes,Mr Beast Burger,5.0,0,,Bien empacado|Porciones adecuadas|Buena calidad de la comida,GOOD_PACKAGING|HIGH_FOOD_QUALITY|ORDER_COMPLETENESS,1.0,,,0
21.0,sXr4DxFhec2PujzGL,565cd158-a1aa-4c2a-8c41-cd905b882b86,ubereats,MEX,Volcanes,Que Chicken,5.0,0,,RATINGS,,RATINGS,1.0,,0
22.0,uTPCqBQoRE8aHMt3G,5764670153430206143,didi,MEX,San Ángel,Fonda Local,5.0,0,,RATINGS,,RATINGS,1.0,,0
